0x000210  你是說列達砦是吧？
0x000224  既然是法娜提供的情報，
0x00023C  我想應該不會有問題吧。
0x000254  我並沒有懷疑那孩子的能力。
0x000270  列達砦對艾爾貝洛瓦來說，
0x00028A  是一個很重要的防禦工事。
0x0002A4  如果一個不小心失陷的話，
0x0002BE  很快地，就會有更大的災禍降臨了吧……
0x0002E4  依照鎖匙之長的說法，
0x0002FA  對方似乎並沒有立刻就發動攻勢的打算，
0x000320  所以好好地備戰之後，再出擊也是可以的。
0x000348  就是要以孩子們的狀況來決定出發的時機，
0x000370  對吧。
0x000378  如果他們準備好了的話，就馬上出發。
0x00039C  那麼，是要先讓他們上課呢，
0x0003B8  還是要在地下為他們做特訓都可以。
0x0003DA  …………
0x0003E4  或者是說……不需要太過急躁，
0x000402  只要把我們堅守這裡的意志，
0x00041E  確實地傳達給「匍伏蔓延而來之物」就好。
0x000446  這一切都交給你處理了。
0x00045E  是的。
