0x000412  《真的。
0x00041C  　真的只在短短的時間裡，
0x000436  　老師他……》
0x000446  《就讓純潔之盾回到了這白皙的城砦。
0x00046A  　這就是，
0x000476  　名列學舍十傑的賢者能力嗎。》
0x000496  《最早的時候，是由我父德涅西亞領導，
0x0004BC  　在他親切的庇護、以及優秀的指導下，
0x0004E2  　黃金時代來臨……》
0x0004F8  《而純潔之盾十六將之一的「黃昏之月」－
0x000520  　奧爾菲•羅馬諾華接任管理了五年。》
0x000546  《繼承了先前的傳統，
0x00055C  　以一貫的溫柔與慈愛包容著孩子們。
0x000580  　而我能夠瞭解。
0x000592  　他們兩位將這一切托付的對象，
0x0005B2  　他那高貴的心與深沉的眼神。》
0x0005D2  《那位先生所表現出來的強烈思念，
0x0005F4  　究竟是什麼呢？
0x000606  　那強烈的思念讓我受到了很大的震撼，
0x00062C  　是的，那是與校長一樣的，
0x000648  　深沉的，濃厚的慈愛。》
0x000662  《然而，到底該說那是一種幸福還是恐懼呢？
0x00068C  　……我感覺十分地恐懼。》
0x0006A8  《無論我們是否希望，
0x0006BE  　純潔之盾也將被領導向更高的境界。
0x0006E2  　在這無盡的苦難之後，
0x0006FA  　無論是誰也都背負著無法逃脫的命運。》
0x000722  《奧吉爾，甚至是羅沙麗亞，
0x00073E  　也在苦惱，也在嘆息。
0x000756  　然後在黑闇中孤獨地前進。
0x000772  　……年紀還小的那些孩子們呀，
0x000792  　能夠承受得住這種壓力嗎？》
0x0007B0  《緩緩地，然而也確實地，
0x0007CA  　就連這鐵三角也崩潰了。
0x0007E4  　現在，純潔之盾的腳步又還能夠多快呢。》
0x00080E  《連讓疲勞身體休息的時間也沒有，
0x000830  　硬是要將他們帶往更高境界的時候，
0x000854  　如果沒有穩固的基礎的話……
0x000872  　雖然我瞭解這樣的道理，然而在這個時候，
0x00089C  　我是否也應該以笑容去守護他們呢？》
0x0008C2  不……
0x0008CA  相信他的判斷，以及支撐這些孩子們，
0x0008EE  是我必須完成的任務。
0x000904  而那也正是守護故鄉的任務。
0x000920  這一切，也就只是這樣了。
