0x001474  《一心一意地，那些孩子們，
0x001490  　現在好像發現了什麼目標而開始有所動作，
0x0014BA  　看著他們朝著自己的目標而努力的樣子，
0x0014E2  　應該沒有哪一位老師不會因此而感到欣慰的
0x00150C  　吧。》
0x001516  《然而在那之中，
0x001528  　也有壓抑著自己而在痛苦裡掙扎的身影。
0x001550  　過去都是被嚴格而有力地引導著，
0x001572  　所以在尋找自己的方向時，遇到了困難。》
0x00159C  《而瑟希莉絲這樣的心情，我感同身受。
0x0015C2  　在環顧四週的時候，因為不安而垂下雙眼。
0x0015EC  　心裡想著：
0x0015FA  　「現在不做點什麼事情的話是不行的。」》
0x001624  《看來，她正是因為找不到那可以實現的目標
0x00164E  　而感到痛苦呀。》
0x001662  老師……
0x00166C  不要太勉強自己了。
0x001680  啊……
0x001688  其他人是其他人，妳就是妳呀。
0x0016A6  妳也是為了重要的朋友們，
0x0016C0  才一路努力到了現在的地步。
0x0016DC  …………
0x0016E6  只要全心全意地去做自己想做的事情，
0x00170A  那樣就可以了。
0x00171A  ……但是，
0x001726  我……
0x00172E  《很想弄清楚自己到底可以做些什麼事情，
0x001756  　少女的眼神筆直地往前方眺望。》
0x001778  …………
0x001782  《想要尋找自己能夠完成的事情，
0x0017A2  　所以才湧現了這樣的疑問嗎？
0x0017C0  　這個僅僅十五歲的少女。》
0x0017DC  …………
0x0017E6  老師……
0x0017F0  我，抱歉。
0x0017FC  抱著這樣心情的我，
0x001810  根本就沒有資格和正在全心全意奮鬥的大家一
0x00183A  起努力吧……
0x001848  …………
0x001852  我已經不想再讓帕彌菈學姊失望了……
0x001876  就算只有多一點也好，
0x00188C  我也希望可以多瞭解羅沙麗亞學姊的心情……
0x0018B6  我想好好地去幫助夏朧……！！
0x0018D4  …………
0x0018DE  還有，老師。
0x0018EC  我也想多瞭解一些有關於您的事情……！
0x001912  瑟希莉絲……
0x001920  對不起，老師……
0x001932  妳根本就不需要道歉呀。
0x00194A  妳已經開始有所進步了，
0x001962  已經踏出了那重要的一步呀。
0x00197E  重要的一步……
0x00198E  在朝霧之中迷失的時候，
0x0019A6  也許會在路邊邂逅新生枝芽的美麗，
0x0019C8  以及那露水滴落的光輝呀。
0x0019E2  …………
0x0019EC  與妳分離，令我感覺很難過。
0x001A08  妳的朋友們也一定是這麼想的吧。
0x001A28  對妳來說，這又是多麼地痛苦呢。
0x001A48  無論是要留在這裡也好，或是要離開也好。
0x001A70  現在，妳似乎已經照著自己所說的話，
0x001A94  用盡全力地要去尋找一件自己所要追求的事物
0x001AC4  老師……
0x001ACE  …………
0x001AD8  啊啊……
0x001AE2  雖然在這樣的環境下，但有關自己究竟想要做
0x001B0C  些什麼，我卻一直都沒有任何概念。
0x001B2E  可是，我覺得大家都已經這樣做了，
0x001B50  所以我不這樣做是不行的呀。
0x001B6C  我一直都希望被您誇獎，
0x001B84  以被您誇獎為快樂，而努力到現在……
0x001BA8  但如果是這樣的話，
0x001BBC  我豈不是完全都沒有改變……
0x001BD8  …………
0x001BE2  老師……
0x001BEC  拜託您。
0x001BF6  我……
0x001BFE  我想去瞭解更多的事物。
0x001C16  《回頭想想看，那些在愛爾梅納斯裡求學，
0x001C3E  　以成為賢者為目標而努力的孩子們；
0x001C62  　我一直以為他們可以毫無疑惑地前進，
0x001C88  　就算碰到了迷惑，也可以靠自己找到解答。
0x001CB2  　總是抱著這種想法的我，實在太天真了。》
0x001CDC  …………
0x001CE6  嗯嗯，這樣啊，的確是這樣呢……
0x001D06  …………
0x001D10  那麼妳有勇氣跟大家道別嗎？
0x001D2C  啊……
0x001D34  《連跟大家分別的勇氣都沒有，
0x001D52  　又怎麼能找到屬於自己的使命呢？
0x001D74  　然而……
