0x000BA8  天氣真好呀。
0x000BB6  在這樣的日子裡，
0x000BC8  就是要像這樣地，跟如同我孫子般的你們，
0x000BF0  在河邊小憩……
0x000C00  這真是比什麼都還要幸福的時刻呀。
0x000C22  …………
0x000C2C  雖然是這樣說。
0x000C3C  但對你們來說，一定很無聊吧。
0x000C5A  沒辦法好好地去玩。
0x000C6E  自由地去玩。
0x000C7C  老師！！
0x000C86  嘿∼嘿∼
0x000C96  我們想問老師一些事情。
0x000CAE  想問我這個老頭問題？
0x000CC4  是的！
0x000CCC  呵，也好。
0x000CD8  但是，我也只能告訴你們我知道的事情而已。
0x000D02  您活到現在，感覺最開心的事情是什麼呢？
0x000D2A  呼嗯。
0x000D32  就是像現在這樣地和你們在一起呀。
0x000D54  我剛剛不是說了嗎？
0x000D68  那，最感到難過的事情呢？
0x000D82  喪失了自己所追尋的目標。
0x000D9C  還有，辜負了別人信賴的時候。
0x000DBA  如果有兩件的話，那就不是「最」難過的啦。
0x000DE4  呼哈哈，妳還真是嚴格呀。
0x000DFE  那麼，應該就是讓人傷了心的事情吧。
0x000E22  ……那，最了不起的事情呢？
0x000E3E  窮盡一生心力，追求到某種事物的事情。
0x000E64  對老老師來說，那又是什麼呢？
0x000E82  呼嗯，這可是個困難的問題。
0x000E9E  那麼，讓我稍微考慮一下吧。
0x000EBA  對不起……
0x000EC6  沒關係，沒關係。
0x000ED8  雖然在還沒有回答她的問題之前讓你們插嘴並
0x000F02  不是很好，但是我們能待在這裡乘涼的時間也
0x000F2C  有限。儘管我還在思考她的問題，
0x000F4C  但你們有其他問題的話，也還是問吧。
0x000F70  ……老師。
0x000F7C  我們幾個現在在這裡生活，
0x000F96  究竟有什麼樣的意義呢？
0x000FAE  ……這個呀，這肯定有深遠的意義。
0x000FD0  雖然我們現在並不知道那是什麼。
0x000FF0  我在想一些事情……
0x001004  那些不想知道的事物，不想聽聞的事物。
0x00102A  不想讓它那樣發展的事物，令人不安的事物。
0x001054  為什麼總是會有這樣的事物存在世界上呢。
0x00107C  而且，一定還會有很多令人擔心的事物對吧。
0x0010A6  因為大家的心裡都會牽掛著其他人。
0x0010C8  你也是，
0x0010D2  會牽掛著其他的事物也是很自然的。
0x0010F4  啊……
0x0010FC  而人的心就在這裡。
0x001110  雖然肉眼無法看見，但是它仍然在這裡。
0x001136  心，也存在於妳的胸中呀。
0x001150  去聽聽看它的聲音吧，夏朧。
0x00116C  唔……
0x001174  試試看哪。
0x001180  ……我，也可以嗎？
0x001194  唔嗯？
0x00119C  我也可以成為一個賢者嗎？
0x0011B6  如果妳真心地努力的話，應該是可以做到的。
0x0011E0  只要妳真心地去努力，什麼都會變得很有趣。
0x00120A  而我覺得，
0x001216  只要看到了妳竭盡全力的態度，
0x001234  總有一天，無論是誰都會希望能夠幫助妳的。
0x00125E  …………
0x001268  我曾經夢想著，是的，
0x00127E  希望自己可以，無論是對誰也好，
0x00129E  也要能夠微笑以對。
0x0012B2  無論是我的朋友也好，我所憎恨的人也好，
0x0012DA  不認識我的人也好，
0x0012EE  跟我十分熟稔的人也好。
0x001306  我是如此地夢想著。
0x00131A  無論是對誰也好，也要微笑以對。
0x00133A  無論是對誰也好，也要微笑以對。
0x00135A  啊……
0x001362  而妳呢，妳又想做什麼事情呢？
0x001380  老老師……
0x00138C  總有一天，一定會被人那樣地稱呼的。
0x0013B0  當你的思念能夠傳達給其他人的時候，
0x0013D4  總有一天，一定會被人尊稱為賢者的。
0x0013F8  ……是的。
