0x00074C  現在啊……
0x000758  聖瑟維艾斯被攻陷了，
0x00076E  而葛斯貝布洛分裂成了兩半，
0x00078A  這完全都是帕蘭達因所造成的。
0x0007A8  …………
0x0007B2  自從你回到純潔之盾以來，
0x0007CC  很快地，也過了半年了吧。
0x0007E6  羅亞爾•聖提只不過三天就被攻陷了，
0x00080A  在現在這種情況下，
0x00081E  愛爾梅納斯也差不多已經算是毀滅了吧。
0x000844  為什麼你還要繼續堅持下去？
0x000860  ……就算只有一點點可能也好。
0x00087E  我想要去相信……
0x000890  相信我們的思念可以實現。
0x0008AA  呼嗯。
0x0008B2  但就算還沒有被毀滅吧，
0x0008CA  這學舍的命脈也已經十分虛弱。
0x0008E8  有一個問題真的是值得好好去思考一下。
0x00090E  …………
0x000918  不論是誰都在說想拯救愛爾梅納斯，
0x00093A  但是又有多少人認真地在考慮，
0x000958  要怎麼去實踐這個想法呢？
0x000972  …………
0x00097C  葛斯貝布洛矇蔽了自己的視聽，
0x00099A  只知道盲目追求道義。
0x0009B0  聖瑟維艾斯沉默地什麼都不做，
0x0009CE  而帕蘭達因又只是獨善其身而已。
0x0009EE  …………
0x0009F8  就算賢者圓桌現在有模有樣地召開，
0x000A1A  那也只不過是個沒有靈魂的空殼罷了。
0x000A3E  羅弗利。
0x000A48  …………
0x000A52  又有誰敢說純潔之盾跟他們不一樣呢？
0x000A76  ……至少，還有我這麼認為。
0x000A92  嗯嗯。
0x000A9A  那麼，同樣地，
0x000AAA  四大學級和賢者圓桌其實也都在貫徹自己的信
0x000ADA  …………
0x000AE4  既然如此，那麼又是誰引來了混沌？
0x000B06  它們的來源究竟是什麼？
0x000B1E  ……十二王杯可以驅除混沌。
0x000B3A  而帕蘭達因應該會完成這份使命。
0x000B5A  …………
0x000B64  而它們的來源究竟是什麼，目前還不能確定。
0x000B8E  現在想一想……
0x000B9E  說不定羅沙麗亞要離開的原因，
0x000BBC  可能就是為了去尋找這個問題的答案。
0x000BE0  ……那預見的雙眼跟你說了些什麼嗎？
0x000C04  「要在白皙城砦裡好好地準備過冬。」
0x000C28  ……喂。
0x000C32  那是西絲汀娜說的話吧。
0x000C4A  這是先知常常說的客套話吧，我想。
0x000C6C  別唬我……
0x000C78  十三年前，我可是深信不疑的。
0x000C96  ……原來是這樣啊。
0x000CAA  在夏天的尾聲，
0x000CBA  這樣地回到了安蒂米昂。
0x000CD2  也和不動的橋墩交過手了。
0x000CEC  …………
0x000CF6  漸漸地，
0x000D00  純潔之盾也走向了一個明確的方向，
0x000D22  我是這麼感覺的。
0x000D34  …………
0x000D3E  我本來認為這一切需要花更久的時間的。
0x000D64  你的意思是說，
0x000D74  如果沒有在這裡受到這些苦難的話，
0x000D96  是沒有辦法造就現在這樣的進展嗎？
0x000DB8  ……那樣的話，
0x000DC8  現在也就只有安穩地繼續努力了呢。
0x000DEA  是啊。
0x000DF2  果然還是得這樣做。
0x000E06  距離冬天也只剩下兩個月了。
0x000E22  ……我希望可以鍛鍊那些孩子到１１月為止。
0x000E4C  就算是這樣，
0x000E5A  對那些孩子們來說，
0x000E6E  這段時間也實在太短了。
0x000E86  比起曾經奮戰了四年的我們，
0x000EA2  他們所受到的訓練實在太少了，是吧。
0x000EC6  …………
0x000ED0  那時候你縱然是不斷地受到挫折，
0x000EF0  甚至是不斷地被打倒，
0x000F06  卻總是能繼續堅持下去。
0x000F1E  我記得很多有關你的回憶呢。
0x000F3A  ……嗯嗯。
0x000F46  總之，就照你想的去做吧。
0x000F60  只要是你決定的事情，我都會支持的。
0x000F84  我已經這樣決定了哪。
0x000F9A  …………
0x000FA4  感謝你。
