0x000758  妳也跟著希里鄔司一起來這裡了呀。
0x00077A  …………
0x000784  看來……
0x00078E  妳並不只是為了保護希里鄔司而來的，
0x0007B2  而是因為別人的建議妳才會過來的吧。
0x0007D6  妳的心裡看起來似乎還有心事。
0x0007F4  …………
0x0007FE  如果可以的話，
0x00080E  我希望可以瞭解妳來這裡的原因。
0x00082E  …………
0x000838  …………
0x000842  我……
0x00084A  …………
0x000854  我是在徬徨與猶豫之中遊蕩到這裡的。
0x000878  …………
0x000882  只是就這樣地漂流到這裡而已，
0x0008A0  只是這樣而已。
0x0008B0  ……看來妳還是不願意放下嗎。
0x0008CE  咦……？
0x0008D8  無論是妳心中的負擔，還是妳的矜持。
0x0008FC  …………
0x000906  這裡是一個妳只需要以自己的方式而生活的地
0x000936  …………
0x000940  因為妳在其他地方，
0x000954  隨時都可以繼續去背負那些原則與責任。
0x00097A  ……但是。
0x000986  那樣對大家來說，應該並不適合吧。
0x0009A8  如果妳想要這樣決定的話，就這樣吧。
0x0009CC  如果妳不想這樣，也是要由妳自己決定。
0x0009F2  ……由我決定？
0x000A02  自己所決定的事情，妳一定會努力完成吧。
0x000A2A  ……沒錯吧？
0x000A38  …………
0x000A42  妳也已經不是個孩子了。
0x000A5A  至少我是這麼認為的。
0x000A76  不要因為「劍聖」這個沉重的稱號，
0x000A98  就對別人這麼冷淡呀。
0x000AAE  …………
0x000AB8  那並不是一個故意要讓人感受到拘謹的稱號。
0x000AE2  可是……
0x000AEC  只要能夠找到就好。
0x000B00  …………
0x000B0A  找到那只有妳自己可以完成的誓願。
0x000B2C  我背負著沉重的拉斯帕爾邁森之名……
0x000B50  也背負著沉重的葛斯貝布洛之名。
0x000B70  …………
0x000B7A  在出外旅行的時候，總是因此而有困擾，
0x000BA0  讓我的劍變得遲鈍了。
0x000BB6  …………
0x000BC0  而你要用我這顆迷惑的心，
0x000BDA  去相信你這個素昧平生的人所說的話？
0x000BFE  …………
0x000C08  去相信你這個不曾背負這種痛苦的人的話！
0x000C30  …………
0x000C3A  去相信你這個輕視傳統的人所說的話！！
0x000C60  芙莉卡。
0x000C6A  …………
0x000C74  負責下決定的，是妳自己呀。
0x000C94  妳只要好好地去體會自己心中的想法。
0x000CB8  在妳能夠真正瞭解自己之前，
0x000CD4  要不斷地去嘗試。
0x000CE6  …………
0x000CF0  而在妳用心思索的時候……
0x000D0A  就先把純潔之盾當作妳的家吧。
0x000D28  …………
0x000D32  可以嗎？
0x000D3C  ……好的。
