0x0013A8  這個世界，已經被混沌所充斥。
0x0013C6  戰亂、疾病、飢饉、天災……
0x0013E2  任無力的雙足委地，只能恐懼著、只能顫抖著，淚眼婆娑的孩子們隨處可見。
0x001428  到處都是連自己親生的孩子也無法幫助，而咒詛著自身的愚懦的大人們。
0x00146A  仗義伸出的援手，並沒有適時出現。
0x00148C  庇護萬民的大能，沒有在他們的上空垂憐。
0x0014B4  這個世界充斥著混沌，
0x0014CA  從清澈的雙瞳中降下的，是哀傷的雨滴。
0x0014F0  因此，「那個地方」便在這種渾沌下誕生。
0x001518  不知道從什麼時候開始，被稱為愛爾梅納斯的學校，在這個時代的陰影裡嘆息。
0x001564  過分漫長的混沌時代，不知道何時才會結束。
0x00158E  無論是人、是龍、是野獸或巨人、猛禽或植物、或是綠之子民與鎚之子民……
0x0015D4  無論是誰，都因此而身心俱疲，處在被不安與焦躁驅策的崩潰邊緣，然而，
0x001618  正因為如此，那些互相恐懼互相憎恨的慘痛經驗不會被忘記。
0x001650  正因為如此，向著那漫長過度的混沌時代血祭的牲品，不會就此斷絕。
0x001690  漫長的漫長的夜晚裡……
0x0016A8  意圖改變現況的人，就連一個也不曾出現。
0x0016D0  在那禽獸目光潛伏的深遂黑暗下，凜然面對重重困難的身影卻是極其幼小。
0x001714  但那面容上所刻畫的神情，是悲哀與憤怒與慟哭、以及那在深處洶湧翻騰的瘋狂與慈愛……
0x001766  當然，僅僅為了增加混亂而燃燒著生命的人們，在這時代也存在著。
0x0017A4  不經意地一瞥間，那深駐歲月痕跡的臉龐，
0x0017CC  一定正若無其事地露出慈愛的微笑吧。
0x0017F0  不知道從什麼時候開始，他們被這樣地稱呼：賢者，
0x001820  「給予人們微笑，無論是對誰也要如此。」
0x001848  只不過是小小的一個心願，卻是賢者們的盼望，
0x001874  那正是向著和諧的大地所跨出的，小小的一步。
0x0018A0  被尊稱為東方的賢者學院，被人們稱為愛爾梅納斯，那已經是很久以前的事情了。
0x001926  她的地位，是在漫長的時光中，毅然地面對戰爭、飢荒、瘟疫、天災之後，逐漸地在人們心中建立起來的。
0x001986  就這樣地，在長久的歷史與賢者們誠摯的內心影響之下，這裡開始受到了人們的尊敬。
0x0019D4  每一個在學舍中生活的賢者都以此為傲，並且繼續地前進下去。
0x001A0E  「不可以讓那已經建立起的信賴被破壞」，要說這個想法就是支持著賢者們努力的支柱，一點也不為過。
0x001A72  挺身面對這在世界滿溢的戰亂、飢饉、天災以及疫病的人的總稱。
0x001AAE  他們是魔術師、是僧侶、是獵人、同時也是戰士。
0x001ADC  他們從世界各地聚集而來，在賢者的學舍裡磨練自己的力量以及技巧，然後成為能夠獨當一面的賢者。
0x001B38  並且，比任何一切都還要重要的是，無論面對多麼強大的力量也不屈服的心，才是學舍中教育的重點。
0x001B94  「那個時候為什麼，要如何地讓他成為一個像這樣的人呢？」
0x001BCC  要說這句話就是學舍中所要傳承的一切，也可以吧。
0x001BFC  只曾出現在賢者的學舍－愛爾梅納斯裡的異形怪物。
0x001C2C  與這廣大的世界中存在的【有生命的東西】相對，是一個完全不一樣的存在，
0x001C72  這就是所謂的匍伏蔓延而來之物。
0x001C92  他們在扭曲的混沌之中獲得了生命。
0x001CB4  令人心驚地，他們以賢者所忌諱的負面力量，摧毀了賢者。
0x001CEA  賢者們是以體能、技巧、與信念支持著自己。
0x001D14  就如同強烈的光將照出更加黑闇的影子似的，
0x001D3E  匍伏蔓延而來之物們也懷著負面的力量、負面的技能、負面的怨念出現在賢者面前。
