0x0007B0  ……為什麼呢，突然又想起了這些事情。
0x0007D6  在歷史中，又記載了多少國家的戰爭、掠奪，
0x000800  乃至於毀滅與降服呢？
0x000816  以這份堅定不移的熱情，我相信……
0x000838  一切，都是為了自由。
0x00084E  為了那些在困苦中喘息的生命而努力。
0x000872  他真是個勇敢的父親……
0x00088A  然而，越是擁有力量，
0x0008A0  擁有無窮無盡的知識……
0x0008B8  就更讓人選擇了狹窄的道路，
0x0008D4  到了最後，
0x0008E0  就連所能選擇的道路都沒有了。
0x000906  人們聚集在一起，
0x000918  就會隨著那團體的規模增加。
0x000934  使得那團體的中心變得更空虛，
0x000952  而其表現出來的形象也將會逐漸扭曲。
0x00097E  照這樣地下去，最後……
0x000996  就因為有著猛烈燃燒的熱情，
0x0009B2  所以才會連自己都燃燒殆盡。
0x0009CE  奧吉爾……
0x0009DA  雖然這問題也許不值得考慮……
0x0009F8  然而，如果毀滅了純潔之盾的話，
0x000A18  豈不又步上了父親的後塵嗎。
0x000A34  我是這麼想的。
0x000A44  ……真稀奇耶。
0x000A54  竟然有人會主動地把自己的困擾告訴別人。
0x000A7C  ……我對妳沒有什麼需要隱瞞的。
0x000A9C  所以我想把所有的事情都明白地告訴妳。
0x000AC2  有著奧丁•古魯士血統的我的一切呀。
0x000AE6  ……從今以後，你打算怎麼做呢？
0x000B06  盡力地去做我可以做到的事情。
0x000B24  只要能收集到所有的王杯的話，
0x000B42  就可以消除混沌。
0x000B54  …………
0x000B5E  完成了這個使命以後，
0x000B74  帕蘭達因就可以在愛爾梅納斯出頭了吧。
0x000B9A  ……然後就要再度回到你的故鄉嗎？
0x000BBC  …………
0x000BC6  如果你的目標就只有這樣的話，
0x000BE4  那你也真是幸福呀。
0x000BF8  至少就好好地照你的意思去做吧。
0x000C18  嗯嗯。
0x000C20  羅沙麗亞也是呀。
0x000C32  那麼，就這樣了吧……
0x000C48  如果我們還能繼續存活下去的話……
0x000C6A  希望日後還可以再見。
0x000C80  嗯嗯，日後再見吧。
0x000C94  告死的天使還真是為我們出了不少力呢。
0x000CBA  雖然失去她真的是十分可惜。
0x000CD6  不過，這也是沒辦法的事情。
0x000CF2  …………
0x000CFC  你認為要怎樣處理純潔之盾呢？
0x000D1A  莽撞無謀地對他們出手是沒用的。
0x000D3A  對白銀的薔薇也是？
0x000D4E  ……就交給你處理吧。
0x000D64  那我就恭敬不如從命了。
