0x000AC8  妳是從哪兒來的呢？
0x000ADC  從雅斯斐斯的北壁……
0x000AF2  從那被冰雪封閉的地方……
0x000B0C  那一定是一條很漫長的旅途吧。
0x000B2A  欸，嗯，是的……
0x000B3C  但是，那個……
0x000B4C  ……但是，路上發生的事情我記不太清楚了。
0x000B76  這也不奇怪。
0x000B84  因為妳的身體現在實在是太虛弱了。
0x000BA6  …………
0x000BB0  我是德涅西亞。
0x000BC0  就妳所看到的，是個老頭子了。
0x000BDE  在這個小地方教導各式各樣的知識，
0x000C00  給一些跟妳差不多大的孩子們。
0x000C1E  總之，這裡有一些任性的孩子，
0x000C3C  當然也有乖巧的孩子……
0x000C54  還算是過著很快樂的生活吧。
0x000C70  …………
0x000C7A  可以告訴我妳的名字嗎？
0x000C92  ……夏朧。
0x000C9E  這個辭的意思是……
0x000CB2  在月光下紛飛的雪花……
0x000CCA  好名字。
0x000CD4  …………
0x000CDE  在這裡，妳不用擔心太多事情。
0x000CFC  這裡很安全。
0x000D0A  不管發生什麼事情，我都會保護妳的。
0x000D2E  …………
0x000D38  妳是為了什麼要來這裡呢？
0x000D52  我是……
0x000D5C  我是因為害怕……
0x000D6E  是什麼樣的事情讓妳這麼害怕？
0x000D8C  不知道，從我心底的什麼地方，
0x000DAA  突然間有像冰一樣冷的火焰燃燒起來……
0x000DD0  然後眼前一片漆黑，
0x000DE4  自己要做什麼也沒辦法控制……
0x000E02  …………
0x000E0C  接著，我注意到的第一件事情，
0x000E2A  就是這溫暖的爐火聲音了。
0x000E44  放心，我們不會對妳棄之不顧的。
0x000E64  可是，不知道我什麼時候……
0x000E80  又會再變成大家的困擾……
0x000E9A  受了傷的翅膀，是無法翱翔在天空中的。
0x000EC0  只要妳願意的話，就可以留在這裡。
0x000EE2  …………
0x000EEC  您不需要對我這麼溫柔呀。
0x000F06  您應該看得出來……
0x000F1A  我是這麼地令人討厭……
0x000F32  …………
0x000F3C  …………
0x000F46  看來妳一直都過得很辛苦呢。
0x000F62  這樣的年紀，在那如同幼小白魚的手指上，
0x000F8A  就佈滿了這麼多傷痕。
0x000FA0  別這樣……！！
0x000FB0  不要對我這麼關心，
0x000FC4  這樣我反而會很痛苦的。
0x000FDC  雖然我也會感到很高興，但就是因為這樣。
0x001004  就是因為這樣，才會感覺痛苦。
0x001022  那麼，我就不必再問妳的年齡了吧。
0x001044  我也不想看到妳痛苦的樣子。
0x001060  而且我也不忍聽妳用那傷感的語調回答……
0x001088  …………
0x001092  但是妳不能這樣一直逃避下去呀。
0x0010B2  總有一天，
0x0010BE  妳會碰到非好好面對自己不可的時候。
0x0010E2  …………
0x0010EC  屬於自己的堅定意志，
0x001102  也只能由自己努力獲得。
0x00111A  堅定的……意志……
0x001136  無論是怎樣的痛苦也好。
0x00114E  若是妳沒辦法從那之中跳脫出來。
0x00116E  那麼除了鍛鍊自己的意志以外，
0x00118C  又要怎麼繼續生活下去呢？
0x0011A6  ……這我能做得到嗎？
0x0011BC  只要妳真的如此希望，那絕對可以。
0x0011DE  ……請讓我試試看吧。
0x0011F4  請讓我留在這裡求學。
0x00120A  拜託您了……！！
0x00121C  《雅斯斐斯的北壁……
0x001232  　是比托爾赫本的北疆還要更北邊的地方嗎。
0x00125C  　聽說，貝爾德拉奇的魔法師和艾克貝斯之間
0x001286  　曾經發生過戰爭……》
0x00129E  《那麼，那戰火也延燒到了雅斯斐斯嗎？
0x0012C4  　因此夏朧也就被捲入了殘酷的戰爭中嗎？》
0x0012EE  《她毫不掩飾地說自己是很令人討厭的，
0x001314  　那麼，這也就表示她對這戰爭的真相知道了
0x00133E  　不少……》
0x00134C  《然而，從如此幼小的少女口中，
0x00136C  　想要問出她不想說的事情的話……
0x00138E  　不知道情況會演變成如何，
0x0013AA  　總有一天，等她精神恢復了的時候……》
0x0013D2  《就算不是跟我說也沒有關係，
0x0013F0  　希望她能交到真正的朋友，
0x00140C  　因而產生一些說出內心話的勇氣，
0x00142E  　而我也就只能等待那個時機來臨了。》
