0x000B02  拜啟。
0x000B0A  給我親愛的老師。
0x000B1C  我最早前往的地方，是靜寂之都……
0x000B3E  在那裡，我碰見了一位總是保持沉默的老賢者。
0x000B6A  那一位賢者只是在山野中漫步，治療受傷的麋鹿們，
0x000B9A  在樹葉間篩下的陽光中盡情地睡著午覺。
0x000BC0  照顧田地、摘取果實變成了我每天的工作。
0x000BE8  進食的份量變得很少……
0x000C00  但是我心中充滿了一種溫暖的感覺。
0x000C22  用抹布擦拭親手做的桌子、自己製作果醬、
0x000C4A  然後磨製彎曲的手杖……
0x000C62  在那段時間裡，那位賢者的笑容總是溫柔地包容著我……
0x000C96  不知道從什麼時候開始，
0x000CAE  我感覺那是一件很了不起的事情。
0x000CCE  老師。
0x000CD6  我能來這裡，真的是太好了。
0x000CF2  雖然這位老賢者只是沈默的不說任何話，
0x000D18  就放任我自己去做事情，
0x000D30  但是……我卻能感覺到我是被愛護著的。
0x000D56  為什麼我以前都沒有發覺呢。
0x000D72  原來老師以前也是這樣地愛護著我，
0x000D94  直到現在，我終於理解了。
0x000DAE  原來大家也是這樣地愛護著我，
0x000DCC  我現在也可以理解了。
0x000DE2  我感覺我已經快要找到我所要追求的目標了。
0x000E12  那就這樣去做吧，一定。
0x000E2A  我想這樣去做。
0x000E3A  能夠決定要這樣去做，能夠發現自己想要這樣
0x000E64  去做，那時候，心中的歡喜，
0x000E80  真的是筆墨無法形容。
0x000E96  心臟撲通撲通地在跳，感覺非常地興奮，
0x000EBC  晚上甚至會因為這樣而睡不著。
0x000EDA  閉上眼睛，躺在溫暖的毛毯裡，
0x000EF8  心裡想著：
0x000F04  「這樣的事情我可以做得到，一定做得到。」
0x000F2E  這種感覺真是幸福。
0x000F42  總有一天，我還要再回到這裡看看。
0x000F64  我想要把心中這份熱烈的思念傳達給他。
0x000F8A  而他一定也會用那深刻的笑容來迎接我吧。
0x000FB2  就算什麼都不說也好，也一定會的……
0x000FD6  終於，不知不覺間，
0x000FEA  星星不再閃耀，風聲不再呼嘯，昆蟲們也不再鳴叫。
0x00101A  然後，在那深沉的黑闇中，有什麼東西開始活動了。
0x00104A  用那顫抖的聲音呢喃著，
0x001062  今天以前的自己，就在那個地方。
0x001082  自己所追求的道路。
0x001096  自己所尋找的道路。
0x0010AA  就算那並不是任何人所希望的結果也好。
0x0010D0  當我不再對過去的自己有所留戀，
0x0010F0  想要向外走出去的那一瞬間，
0x00110C  我意外地有所覺悟了。
0x001122  要自己去尋找自己的道路，是多麼地孤獨，多麼地艱辛呀。
0x001158  若是只是照著別人所指示的去完成事情，
0x00117E  那又是多麼地簡單呀。
0x001194  那是一條多麼輕鬆的道路。
0x0011AE  因為我不知道自己即將挑戰的目標有多麼困難
0x0011D8  ，明明自己就沒有做什麼努力，只是光動著一張嘴，
0x001208  所以會碰到阻礙也是有可能的。
0x001226  原來，要靠自己去追尋自己的使命，
0x001248  是令人感到這麼徬徨無助的事情呀？
0x00126A  啊啊，然後比誰都還能夠……能夠瞭解這種感覺的老師。
0x00129E  您一直都是處於這樣的心情下嗎？
0x0012BE  就像那一位賢者也是，度過了數百個星光黯淡的黑夜，
0x0012F0  凝視著那漸漸消失的火堆和慢慢冷卻的石頭時，
0x00131C  是不是也曾經因為什麼重要的事情，而突然心頭一震呢？
0x001350  過去，我連這種「沒有別人可以依靠」的孤獨感受都不能瞭解的時候，
0x001390  又曾經帶給老師您多少的困擾呢……！
0x0013B4  我……
0x0013BC  我上次對羅沙麗亞學姊說的話，
0x0013DA  一定很過分吧……
0x0013EC  而且，對帕彌菈學姊也是……
0x001408  只是一味的想被引導著就好了。
0x001426  只是想照著別人所說的話去做就好了。
0x00144A  雖然以某個人為目標，
0x001460  或是被某些人親切地引導著，
0x00147C  但是對他們的想法，我卻一點也無法理解。
0x0014A4  他們也是多麼地想開口問問別人，
0x0014C4  自己應該怎麼做不是嗎？
0x0014DC  如果我不想辦法進步的話是不行的……
0x001500  ……真是個不中用的學生呀。
0x00151C  老師，您應該是這麼認為的吧……
0x00153C  羅沙麗亞學姊並沒有拋棄純潔之盾。
0x00155E  奧吉爾學長當然也不只是單純地離開而已。
0x001586  很確定的，他們都沒有放棄與背叛的理由。
0x0015AE  ……他們是在前進呀。
0x0015C4  為了要向某種東西挑戰。
0x0015DC  那麼，難道我就要像這樣地在這裡終老一生嗎
0x00160A  不，不會的。
0x001618  ……我不想輸給他們。
0x00162E  就算我的能力比不上他們，也不瞭解他們所要
0x001658  追求的是什麼，至少，我的這一份信念不可以
0x001682  輸給他們。如果我要以他們為目標的話。
0x0016A8  若是連這一份思念都不如他們強烈的話，
0x0016CE  又怎麼有可能趕上他們呢。
0x0016E8  在孕育了他們的純潔之盾裡前進。
0x001708  不依靠別人的力量，用自己的雙腳前進。
0x00172E  晚安，老師。
0x00173C  雖然別離只會充滿了淚水，
0x001756  但是我一定會帶著笑容回到伊諾森提雅的。
0x00177E  ……嗯嗯，但是，說不定還是會哭出來了呢。
0x0017A8  這不是因為悲傷而哭泣。
0x0017C0  而是因為太開心了而落淚，
0x0017DA  這樣的事情也是有的，對吧？
0x0017F6  就快要到達伊諾森提雅了。
0x001810  我會好好加油的，一定會。
0x00182A  然後讓我的心願實現，一定會的。
0x00184A  看著吉爾梅亞閣下的微笑，
0x001864  就會讓我有這種感覺呢∼
0x00187C  老師那深沉的眼神中，
0x001892  是不是也有著這樣的感覺呢？
0x0018AE  我，也想成為那樣的一個人。
