0x00045E  以我艾爾雪•貝爾薩之名，
0x000478  一切都完全遵從您的指示。
0x000492  希望引導我們的您，能夠受到祝福。
0x0004B4  誠摯地感謝您。
0x0004C4  從過去到現在如此，從現在到以後也是。
0x0004EA  在要去看的時候就要看清楚，
0x000506  在要去聽的時候就用心聽。
0x000520  表情要沉穩、舉止要莊重、
0x00053A  說話要誠懇、做事要謹慎。
0x000554  有所懷疑的時候就發問、
0x00056C  生氣的時候要想清楚日後會有的麻煩、
0x000590  有利益擺在面前時要以道義去衡量它的輕重。
0x0005BA  ……我接受了愛爾梅納斯的古老教誨，
0x0005DE  決心從今以後要這樣地生活。
0x0005FA  希望您以後能夠指導我，
0x000612  讓我不要偏離了這條道路。
0x00062C  您的話語中沒有矛盾……
0x000644  若是被您那毫無迷惑的眼神注視、
0x000664  被您那不曾動搖的雙手懷抱、
0x000680  無論是誰也會努力向前。
0x000698  我敬愛的老師呀。
0x0006AA  我要以你為目標而努力。
0x0006C2  要像您一樣如山一般地崇高、
0x0006DE  如原野般地寬大、如湖泊般地澄澈。
0x000700  吾師呀。
0x00070A  希望您能夠永遠地如此健康。
0x000726  為了主人而揮劍，
0x000738  那曾經是相當自然的事情，
0x000752  也是毫不猶豫的事情。
0x000768  忠誠地奉獻自己的生命而戰鬥，
0x000786  這件事情不需要任何的理由。
0x0007A2  ……然而，您卻這樣地教導我：
0x0007C0  「我只有為了互相深深信賴的朋友而活，
0x0007E6  才能真正地活出自己。」
0x0007FE  加入了純潔之盾以後，我才發現：
0x00081E  「原來在這世界上還有這種生活方式。」
0x000844  ……我再度地發誓，將要貫徹這份信念。
