0x0002FA  想要有所作為之前，非得好好鍛鍊自己不可。
0x000324  我想，妳也一定已經恢復了像從前一樣清澈的眼神吧。
0x000356  這樣就好，這樣就好。
0x00036C  那麼，就回純潔之盾吧，回到我深愛的弟子身邊，
0x00039A  我想他也一定很擔心妳的。
0x0003B4  也許我會有點難過，對我們這種老人來說，
0x0003DC  應該沒有比小孩子、自己的子孫、或是比你們
0x000406  還要更可愛的東西了吧。
0x00041E  妳很想報答那些曾經這麼愛護妳的親人們吧，
0x000448  那妳又還在遲疑些什麼呢？
0x00046A  就在那裡。
0x000476  妳的道路就在那裡。
0x00048A  我……
0x000492  他這麼地照顧我，
0x0004A4  但是我卻沒有辦法報答他……
0x0004C0  雖然這樣，他還寫了這封信給我……
0x0004E2  雖然這樣，可是我，我……
0x0004FC  吉爾梅亞閣下……
0x00050E  感謝您給我這麼好的回憶。
0x000528  真的非常感謝您……！
0x00053E  希望您能夠一直都像現在這樣地健康。
0x000562  感謝您！！！
