0x0020C8  製作得比一般的巨劍還要來得輕，就算是力氣小的人也
0x0020FA  有辦法使用。
0x002134  由於劈砍的時候銳利度穩定，使用起來也比較簡單，
0x002164  所以不僅是初學者，
0x002178  也有許多劍士喜歡使用這種長劍。
0x0021C4  製作目的比較不注重結構的強度，
0x0021E4  而是著重於使用時的方便性。
0x00222A  和一般人使用的獵弓不同，
0x002244  是為了戰鬥而設計的。
0x002284  為了讓力氣小的人也能使用，
0x0022A0  花了不少的工夫設計。
0x0022B6  給予想成為術士的人們初學時所使用的杖。
0x0022E2  使用在愛爾梅納斯生長了很久的樹木製作，
0x00230A  可以補足使用者不足的力量。
0x002354  製作目的比較不注重結構的強度，
0x002374  而是著重在穿上它之後的活動性，
0x002394  穿上它並不會影響攻擊的動作。
0x0023E4  只對人體做出最小程度的保護，
0x002402  設計上比較重視活動性。
0x00246E  不知道是不是有人施了魔法在上面，
0x002490  擁有不可思議的力量。
0x0024A6  用生長在肯涅歐涅的樹海的靈鳥「芬」的羽毛所做的飾
0x0024E0  因為它是能夠給予人幸運與增強人的活動力符，
0x00250C  所以受到人們的珍視。
0x002522  沒有記載任何內容，完全空白的捲軸。
0x002546  只有高等的術士可以在上面記錄文字，
0x00256A  是不可思議的捲軸。
0x0025A8  在神聖的愛爾梅納斯度過了長久的歲月後，
0x0025D0  能夠給予使用者力量。
0x002610  在神聖的愛爾梅納斯度過了長久的歲月後，
0x002638  能夠給予使用者力量。
0x002678  使用在愛爾梅納斯生長了很久的樹木製作，
0x0026A0  可以提升使用者的慨性。
0x0026E0  據說它獨特的弦音已經成為了愛爾梅納斯賢者獨特的標
0x002740  據說如果沒有成為賢者的資質，
0x00275E  就連想要撥動它的弦也是很困難的。
0x0027A8  在那上面的銀環是身為愛爾梅納斯賢者的證明，
0x0027D4  能夠增強使用者的魔力。
0x002816  不只是可以防禦物理攻擊，
0x002830  對魔法攻擊也有一定程度的防禦力。
0x00287C  被設計成不會阻撓穿著者所做的所有動作，
0x0028A4  也不會影響穿著者使用任何技能。
0x0028F6  賢者們時常在陷入困境的時候凝視這個首飾，
0x002920  因為其中的誓願與勇氣讓他們能夠再度奮發。
0x002970  當月亮在天空中閃耀的時候，
0x00298C  才能發揮它真正的力量。
0x0029C8  因為效果不如預期的好，
0x0029E0  所以被「雪蘭」本人稱為「試藥」。
0x002A02  雖然如此，它仍然有非常驚人的藥效，
0x002A26  所以現在仍被學舍用來當做教材使用。
0x002A7A  雖然製作的動機不純，
0x002A90  但是仍然能發揮不錯的效果。
0x002AAC  戰士們所聚集的學級「葛斯貝布洛」的賢者們所製作的
0x002AE8  因為是以十分重視實戰的角度設計的，
0x002B0C  沒有一定程度力氣的人無法使用。
0x002B2C  用好戰的部族「基流士」所流傳下來的方法製作的長劍
0x002B64  不但令人驚訝地輕便，同時也非常堅固，
0x002B8A  就算是拿著它揮動一整天也不會給人帶來負擔。
0x002BE8  會讓使用者受到星光的保護。
0x002C2A  因為它的價值不菲，
0x002C3E  所以有不少仿冒品在市面上流傳。
0x002C7C  雖然已經是數百年前製造的東西，
0x002C9C  但仍然煥然如新，
0x002CAE  賢者們致力於研究那不可思議的製作方式已經有很長的
0x002CE0  一段時間了。
0x002D0E  鑲嵌在杖上的藍寶石會在儀式開始時放出柔和的光芒。
0x002D68  粗糙而充滿重量感的鎧甲，
0x002D82  會對看到它的人放出一種無形的壓迫感。
0x002DD4  有著活化穿著者肉體的效果。
0x002DF0  因為戰爭而滅亡的王國─「法爾摩迪斯」的國王所佩戴
0x002E32  據說是被逃亡到愛爾梅納斯的王族帶來的。
0x002E80  編織在靴子上的聖言能夠幫助穿著者行走在崎嶇的道路
