0x000D22  第十三王杯才是奇蹟的精粹。
0x000D3E  它所能完成的願望，
0x000D52  究竟可以大到什麼程度呢？
0x000D6C  就像奎絲忒所說的一樣。
0x000D84  如果愛爾梅納斯希望毀滅那生命的法燈的話，
0x000DAE  透過第十三王杯的力量，
0x000DC6  愛爾梅納斯將會達成一切心願，
0x000DE4  而那時候，一切就結束了，這是不會錯的。
0x000E0C  …………
0x000E16  然而，只要愛爾梅納斯想要繼續生存的話，
0x000E3E  當然也可以繼續生存下去。
0x000E58  無論是誰，
0x000E64  只要有人強烈地希望愛爾梅納斯繼續生存下去
0x000EB2  …………
0x000EBC  如果可以給予死亡，當然也可以賦予新生。
0x000EE4  說不定，
0x000EEE  十二王杯的光輝就是這樣地被囚禁在黑闇中。
0x000F18  然而，在那一片漆黑的形體中，
0x000F36  也的確還有一些生氣。
0x000F4C  …………
0x000F56  為什麼要告訴我們這些？
0x000F6E  不，不如說……
0x000F7E  為什麼，為什麼不早點說……！
0x000F9C  ……那當然是因為，
0x000FB0  光是這樣還是不能解決問題的。
0x000FCE  愛爾梅納斯的絕望，實在很深沉。
0x000FEE  老師……
0x000FF8  第十三王杯，那正是末日的力量……
0x00101A  …………
0x001024  是呀，同時，
0x001032  第十三王杯也正是實現那強烈思念的力量。
0x00105A  那些孩子們各自所擁有的熱情、思念、淚水，
0x001084  還有心靈。
0x001090  …………
0x00109A  當那些事物能夠融為一體的時候，
0x0010BA  也許會有微乎其微的機會，
0x0010D4  可以治癒愛爾梅納斯的心靈也說不定。
0x0010F8  而帕蘭達因卻沒有這樣地去思考。
0x001118  黑衣施咒者們所下的賭注，
0x001132  就彷彿走在纖細的鋼絲上一樣危險。
0x001154  雖然，我們也是如此。
0x00116A  在那深沉迷惑中所感受到的哀痛，
0x00118A  才是推動純潔之盾前進的力量。
0x0011A8  在目前這樣危急的時刻，
0x0011C0  正因為我們是純潔之盾的一員，
0x0011DE  所以才要把希望託付在這些沉重的思念上。
0x001206  …………
0x001210  現在正是那個時機，把你朋友所捎來的信，
0x001238  就是那一封最後的信，給孩子們看看吧。
0x00125E  所謂的愛爾梅納斯，那其實就是……
0x001280  身上刻滿了皺紋，活了七千多年的老人。
0x0012A6  也是那才剛剛出生的嬰兒。
0x0012C0  是對孩子們溫柔照顧的親人。
0x0012DC  …………
0x0012E6  是有著豐富的心靈，卻時常感到不安的孩子。
0x001310  她因為這個世界的混沌而感到絕望、
0x001332  感到痛苦，也因而悲嘆著。
0x00134C  雖然如此，
0x001358  但只要有孩子們還在學舍裡求學，
0x001378  她就會想要全力地用關愛去包容他們。
0x00139C  所以，她才會付出了她的心意。
0x0013BA  在那夏天的茂密綠色裡，
0x0013D2  搖曳的樹葉讓人感到安詳，
0x0013EC  而在冬天的嚴寒中，似乎有著呵責。
0x00140E  在春天裡給予我們活躍的勇氣，
0x00142C  而在秋天，又好像為我們帶來了憂愁。
0x001450  …………
0x00145A  在她心中的一隅，感到了疑惑。
0x001478  在她心中的另一角，則因為寂寞而顫抖。
0x00149E  …………
0x0014A8  然而，如果我們心中想著：
0x0014C2  「希望在愛爾梅納斯生活下去」的話。
0x0014E6  如果為了達成這份心願而前進的話。
0x001508  …………
0x001512  一定可以的。
0x001520  我相信一定可以拯救她的。
0x00153A  正因為我們在這裡學習。
0x001552  正因為我們可以告訴她要繼續前進。
0x001574  所以，我們沒有任何理由裹足不前。
0x001596  當你在讀我這封信的時候。
0x0015B0  我可以看見那些被教養得很成熟的孩子的笑容
0x0015E0  感謝你，我無可取代的朋友。
0x0015FC  …………
0x001606  現在，我打從心底地這麼想。
0x001622  能夠走在這條道路上，真好。
0x00163E  ……奧爾菲。
0x00164C  …………
0x001656  ……老師。
0x001662  我願意去做。
0x001670  請您賜予我們勇氣。
0x001684  是的，愛爾梅納斯也就是我們呀。
0x0016A4  如果我們能夠好好地努力的話，
0x0016C2  愛爾梅納斯就不用處在這樣的痛苦之中了。
0x0016EA  讓我們試試看吧，老師。
0x001702  讓我們點亮那愛爾梅納斯的生命燈火。
0x001726  就算那邪惡的意念，
0x00173A  正在紡織著毀滅的未來也好。
0x001756  …………
0x001760  不，就算是愛爾梅納斯自己希望結束自己的生
0x00178A  命也好。
0x001794  無論多少次也好，
0x0017A6  都讓我們去點亮她生命的燈火吧。
0x0017C6  大家一起去。
