0x000DFC  愛爾梅納斯是我們無可替代的故鄉。
0x000E1E  我不只關心伊諾森提雅或是帕蘭達因的存亡。
0x000E48  我，是不想失去愛爾梅納斯。
0x000E64  嗯嗯。
0x000E6C  那就讓我們一起加油吧。
0x000E84  也許我們會死也說不定。
0x000E9C  那樣也沒有關係嗎……？
0x000EB4  ……就算從這裡逃走，又能得到些什麼呢？
0x000EDC  不管我們去哪裡，
0x000EEE  總是會有一件兩件三件，
0x000F06  不知道多少件的麻煩事吧。
0x000F20  只要還有那微乎其微的機會可以拯救愛爾梅納
0x000F4A  斯……
0x000F52  我就會去試試看。
0x000F64  是啊。
0x000F6C  既然都已經要做的話，就漂亮地去做吧。
0x000F92  那可是連賢者大人們都做不到的事情，
0x000FB6  但是我們做得到。
0x000FC8  …………
0x000FD2  說不定，有些事情是非得要笨蛋來做才行。
0x000FFA  那麼，
0x001002  我們差不多也該好好展現我們的實力了。
0x001028  我想報答這份恩情。
0x00103C  我想要努力做到我不能再繼續下去為止。
0x001062  真的嗎？
0x00106C  我們只不過還是一群孩子而已……
0x00108C  我們真的可以做到嗎……！？
0x0010A8  在愉快的早晨裡，剛烤好的吐司，
0x0010C8  也有可能讓你的心情Ｄｏｗｎ到谷底。
0x0010EC  因為它碰到了沾滿灰塵的桌子的地方，
0x001110  可能剛好是你準備要塗上奶油的那一邊。
0x001136  …………
0x001140  但是，應該沒有人會因為這樣就不塗上奶油，
0x00116A  乾脆直接吃了吧？
0x00117C  如果真的就這樣吃了的話，
0x001196  那麼其實一開始，
0x0011A8  根本就不會那麼想要塗上奶油了嘛。
0x0011CA  法娜學姊……
0x0011D8  …………
0x0011E2  既然會擔心自己還是個孩子，
0x0011FE  就表示已經不再是個孩子了。
0x00121A  既然選擇了我們，
0x00122C  就是因為我們最適合這個任務啊，
0x00124C  所以不要再退縮了。
0x001260  對我來說啊，這裡的大家都是我的家人！
0x001286  愛爾梅納斯是讓我最快樂的家庭了！
0x0012A8  所以我要保護她。
0x0012BA  …………
0x0012C4  我呀，還想要再跟大家生活在一起。
0x0012E6  所以，我會努力去做的。
0x0012FE  以後，也會有人生活在懊悔中。
0x00131C  而我希望能夠出現一些以這種懊悔為動力，
0x001344  建立起更好的學舍的人。
0x00135C  …………
0x001366  然而，
0x00136E  如果沒有一些笨蛋想留在這裡堅持到底的話，
0x001398  那也會很糟糕的，不是嗎？
0x0013B2  當那些吟遊詩人們在談唱的時候，
0x0013D2  這一定會是最高潮的一段吧。
0x0013EE  唉呀，我們當然不希望會變成故事裡，
0x001412  悲傷的最低點啦。
0x001424  如果可以順利守護這裡的話，
0x001440  說不定就會變成人們傳頌的場面了呢。
0x001464  所以要拯救愛爾梅納斯呀！
0x00147E  如果做不到的話，
0x001490  在這裡度過的時光、過去努力前來的經歷，
0x0014B8  通通都會變成一場夢幻了呀。
0x0014D4  …………
0x0014DE  ……大家。
0x0014EA  一起加油吧。
0x0014F8  然後，還要再一起回到這裡。
0x001514  嗯！！
0x00151C  嗯嗯。
0x001524  好的。
0x00152C  我知道了。
0x001538  …………
0x001542  從一開始，我就沒有異議。
0x00155C  當然。
0x001564  …………
0x00156E  嗯嗯。
0x001576  一起加油吧。
0x001584  加油吧。
0x00159C  好∼就讓我們好好地大鬧一場吧！！
0x0015BE  那個……
0x0015CE  如果事情進行順利的話，
0x0015E6  應該可以拿到滿分吧？
0x0015FC  嗯嗯，當然啦。
0x00160C  怎麼會拿不到呢？
0x00161E  最少也會拿個一億分滿分吧。
