0x00069E  老實說……
0x0006AA  那時候我已經有了再也沒辦法在這裡跟您交談
0x0006D4  的覺悟了。
0x0006E0  就像瑟希莉絲那時候說的一樣……
0x000700  既然這一切已經破滅了的話，
0x00071C  就乾脆讓他破滅得更徹底吧，
0x000738  我當時是那樣想的。
0x00074C  而那個敏感的孩子雖然不能很確定，
0x00076E  但是也確實地感受到了吧。
0x000788  看到那勇敢的眼神，
0x00079C  不意地讓我回想起了你的面容。
0x0007BA  我當時想：「您真的是把她教導得很好呀。」
0x0007E4  「而且竟然是在這麼短的時間裡，
0x000804  就讓她有這樣的成長。」
0x00081C  也就因為您是這樣的人，所以我被您原諒了。
0x000846  ……因為如此，
0x000856  我會用盡我所擁有的一切去支撐這純潔之盾。
0x000880  懇請您以後也能繼續照料這些幼苗，
0x0008A2  讓他們結出豐美的果實。
0x0008BA  我想，您會留在這裡的原因，
0x0008D6  本來就不是因為這裡會有其他人來稱讚您吧？
0x000900  請您注意看看呀。
0x000912  有多少雙希望您留下來的眼神，
0x000930  正在依賴地看著您呀。
0x000946  ……還是說，
0x000954  您認為我也是用那樣的眼神看著您呢？
0x000978  如果您是這樣想的話……
0x000990  那像您這樣的人，
0x0009A2  呵，還真的是沒救了呢。
0x0009BA  您不曾訴說光明，也不曾講解黑闇。
0x0009DC  不追問過去，也不懷疑未來。
0x0009F8  只是，是啊，這樣地凝視著我。
0x000A16  不會因為眼前的危難而背棄自己的信念，
0x000A3C  也不會因為權威的壓迫而改變自己的意志。
0x000A64  就因為這樣，所以我想為您而戰。
0x000A84  ……能夠讓別人這樣地想，
0x000A9E  就是您厲害的地方呢。
0x000AB4  還是說，這就是您狡猾的地方呢？
0x000AD4  這預知的雙眼呀，有時候也會看見一些自己不
0x000AFE  想見到的結局。不，大概就是因為自己不想預
0x000B28  見那樣的事情，所以才會……
0x000B44  就像自己雖然明明身處於光明之中，
0x000B66  但是卻總會去尋找事物的黑暗面吧。
0x000B88  ……就像那在天空中飛舞的翅膀，
0x000BA8  需要強勁的風才能盡情翱翔。
0x000BC4  對我來說，您的關心也是必要的。
0x000BE4  無論是怎樣的話語也好，
0x000BFC  無論是怎樣的想法也好，
0x000C14  都會變成我的精神食糧、
0x000C2C  變成我繼續支持您的力量吧。
0x000C48  那是什麼時候的事情了呢……
0x000C64  沒有人願意相信我。
0x000C78  沒有人同情我。
0x000C88  在我會為了一點點的心意而感動、
0x000CA8  為了一點點溫暖而徬徨、
0x000CC0  為了一點點的傷痛而逃避的那一天，
0x000CE2  那個時候……
0x000CF0  那時候，您對我說……
0x000D06  「活下去。」
0x000D14  「不要去恐懼任何人眼中，所倒映的醜惡的自
0x000D44  應該要恐懼的，
0x000D54  是妳沒辦法發揮所有的力量去求生的情況。」
0x000D7E  ……是的。
0x000D8A  是您給了我這在胸中燃燒的，
0x000DA6  不滅的生命之火，老師……
0x000DC0  只有為了您，我才能繼續地活下去。
