0x000418  我真的很想挽留她……
0x00042E  可惜卻沒有辦法做到。
0x000444  …………
0x00044E  不過，那也是她自己的道路，不是嗎？
0x000472  …………
0x00047C  在羅沙麗亞的眼裡，
0x000490  可以看見一些我所不能預見的未來。
0x0004B2  如果她決心要離開這裡去旅行的話……
0x0004D6  那預知的能力也正是她值得我們相信的原因。
0x000500  原來是這樣呀。
0x000510  …………
0x00051A  …………
0x000524  如果老師您不嫌麻煩的話……
0x000540  可以請您留在純潔之盾嗎？
0x00055A  …………
0x000564  為了要培養出優秀的僧侶，
0x00057E  我們需要借重您的力量。
0x000596  …………
0x0005A0  拜託您了。
0x0005AC  ……你的意思是：
0x0005BE  「請您待在安全的地方努力活久一點呀。」
0x0005E6  …………
0x0005F0  你這個總是不好好聽人說話的傢伙。
0x000612  你是這個意思嗎？
0x000624  …………
0x00062E  如果是那樣的話，
0x000640  我可就不會再把你當作我的學生了。
0x000662  法爾德閣下……？
0x000674  身為一同在愛爾梅納斯裡生活的賢者，
0x000698  我願意幫助你。
0x0006A8  …………
0x0006B2  雖然我已經老得沒有辦法戰鬥了，
0x0006D2  但是說到照顧孩子們的話，
0x0006EC  一兩個我也是可以盡力去幫忙的。
0x00070C  如果，你是這麼希望的話。
0x000726  老師……
0x000730  那麼以後就要請您多多指教了。
0x00074E  呵呵。
0x000756  純潔之盾之長呀，
0x000768  我才要請你多多指教了呢。
