0x000654  真沒想到我會這樣地加入了純潔之盾呢，
0x000682  ……我現在也還感覺，
0x000698  帕蘭達因其實是個很好的地方。
0x0006B6  不過那也是當然的呀。
0x0006CC  在那裡，除了要鍛鍊自己的能力以外，
0x0006F0  其他什麼事情都不用操心。
0x00070A  現在回頭想想，那是多麼輕鬆的一條路呀。
0x000732  「其實像現在這樣就好了」的想法，
0x000754  我過去也不曾懷疑。
0x000768  ……然而，在能夠自由地照心裡所想的去做的
0x000792  時候，我才終於瞭解了呢。
0x0007AC  那麼，我以前所說的……
0x0007C4  「在這裡學習是一點意義都沒有的」，
0x0007E8  真的是很愚蠢的話呀。
0x0007FE  不過，當時我至少也知道要成為賢者是多麼危
0x000828  險而困難的事情。
0x00083A  所以，如果有簡單的選擇跟困難的選擇可以選
0x000864  的話，要選哪個應該就很清楚了吧。
0x000886  至少，在我心中是這樣的，對吧。
0x0008AC  雖然說話的次序好像有點錯亂了……
0x0008CE  還是請您多多指教呀，老師。
0x0008EA  如果您願意的話。
0x0008FC  我不會忘記這條道路的。
0x000914  就算我找到了更加美好的道路，
0x000932  就算那將是一條互相分歧的道路。
0x000952  「無論哪一條路，
0x000964  最後一定都會在某個地方會合……」
0x000986  因為現在我有這樣說的信心呢。
0x0009A4  老實說，我現在正在想，
0x0009BC  這一切為什麼會變成這樣呢？
0x0009D8  讓連左右都還分不清楚的一群孩子們圍在書桌
0x000A08  大家一定總是感覺很鬱悶，
0x000A22  那種心情就彷彿會破喉而出的強烈。
0x000A44  然而，不只是這樣而已。
0x000A5C  我自己應該也是這麼感覺的呀。
0x000A7A  不但不安、恐懼、痛苦、也感覺很想哭。
0x000AA0  是什麼時候開始的呢？
0x000AB6  有了「如果對方有可能會傷害自己的話，
0x000ADC  就要在受傷之前將他驅除。」的想法，
0x000B00  不知不覺間，我撥開人群，
0x000B1A  爬上了更高的地位。
0x000B2E  我知道了要怎樣去扯別人的後腿。
0x000B4E  我學會了如何去踐踏別人往上爬的雙手。
0x000B7A  雖然這話很難令人相信，
0x000B92  但正是因為在帕蘭達因求學，
0x000BAE  所以讓我瞭解了純潔之盾的情況。
0x000BD4  支撐著別人的腳步、
0x000BE8  互相攜手合作、
0x000BF8  與某個人一起眺望著同樣的目標、
0x000C18  然後一起前進。
0x000C28  ……我可是不會忘記這些的唷。
0x000C46  呵呵。
0x000C4E  但是，您要記住呀。
0x000C62  如果您扭曲了原先的信念，
0x000C7C  想要就這樣停滯不前的話，
0x000C96  我可是會毫不猶豫地把你踹飛的呀。
0x000CB8  不，還是讓我好好地把你給踩爛吧。
0x000CDA  為什麼呢……
0x000CE8  就因為你是個賢者吧。
